m,estimate,error,confidence
3,0.75,0.45,0.379150390625
4,0.75,0.45,0.238525390625
5,0.34375,0.04375000000000001,0.1741943359375
6,0.34375,0.04375000000000001,0.1187744140625
7,0.34375,0.04375000000000001,0.1187744140625
